frame,blink,gaze_vel,AU1-neg,AU1-pos,AU2-neg,AU2-pos,AU3-neg,AU3-pos,AU4-neg,AU4-pos,AU5-neg,AU5-pos,AU6-neg,AU6-pos,AU7-neg,AU7-pos,AU8-neg,AU8-pos,AU9-neg,AU9-pos,AU10-neg,AU10-pos,AU11-neg,AU11-pos,AU12-neg,AU12-pos
2310,0,19.053838217417383,-0.0263,-3.6499,-0.0263,-3.6501,-0.0338,-3.4039,-0.0622,-2.8088,-0.4453,-1.0234,-0.1445,-2.0059,-2.1190,-0.1280,-0.0328,-3.4323,-0.3421,-1.2388,-0.1367,-2.0572,-0.0759,-2.6156,-0.0188,-3.9852
2340,0,12.584342320622731,-0.0263,-3.6526,-0.0095,-4.6646,-0.0365,-3.3285,-0.0515,-2.9923,-0.3496,-1.2206,-0.1398,-2.0366,-2.7348,-0.0671,-0.0474,-3.0732,-0.4538,-1.0084,-0.1261,-2.1332,-0.1323,-2.0883,-0.0022,-6.1018
2370,1,27.189133434634723,-0.0189,-3.9802,-0.0568,-2.8959,-0.0275,-3.6077,-0.1487,-1.9791,-0.4275,-1.0560,-0.1441,-2.0083,-2.7142,-0.0686,-0.0325,-3.4416,-0.2515,-1.5033,-0.1029,-2.3252,-0.0611,-2.8257,-0.0138,-4.2926
2400,0,14.361023728305865,-0.0159,-4.1522,-0.0249,-3.7043,-0.0188,-3.9813,-0.0853,-2.5043,-0.3240,-1.2847,-0.1094,-2.2673,-2.7323,-0.0673,-0.0371,-3.3117,-0.2539,-1.4952,-0.0813,-2.5501,-0.0821,-2.5410,-0.0062,-5.0919
2430,0,18.595002968304634,-0.0179,-4.0297,-0.0122,-4.4099,-0.0124,-4.3925,-0.0749,-2.6286,-0.3249,-1.2822,-0.2074,-1.6751,-2.9126,-0.0559,-0.0278,-3.5966,-0.2281,-1.5898,-0.1162,-2.2102,-0.1572,-1.9281,-0.0010,-6.8992
2460,1,13.362021422174633,-0.0126,-4.3786,-0.0322,-3.4532,-0.0155,-4.1777,-0.0939,-2.4124,-0.3518,-1.2154,-0.1719,-1.8455,-3.0197,-0.0500,-0.0523,-2.9760,-0.4868,-0.9534,-0.3172,-1.3026,-0.2119,-1.6557,-0.0372,-3.3104
2490,1,7.413604912515919,-0.0217,-3.8399,-0.0383,-3.2803,-0.0252,-3.6941,-0.1024,-2.3301,-0.3935,-1.1229,-0.1883,-1.7622,-2.8718,-0.0583,-0.0569,-2.8945,-0.4871,-0.9530,-0.2722,-1.4341,-0.1951,-1.7304,-0.0260,-3.6619
2520,1,14.112685801933525,-0.0094,-4.6677,-0.0147,-4.2295,-0.0261,-3.6605,-0.0696,-2.6995,-0.3360,-1.2540,-0.1254,-2.1382,-2.8372,-0.0604,-0.0432,-3.1639,-0.5606,-0.8459,-0.1802,-1.8026,-0.0821,-2.5402,-0.0117,-4.4523
2550,1,21.92826767852641,-0.0132,-4.3334,-0.0144,-4.2451,-0.0119,-4.4402,-0.0651,-2.7644,-0.3133,-1.3130,-0.1414,-2.0258,-2.7589,-0.0655,-0.0651,-2.7638,-0.4548,-1.0066,-0.2335,-1.5691,-0.1422,-2.0207,-0.0212,-3.8624
2580,1,8.171388000261562,-0.0185,-3.9985,-0.0148,-4.2178,-0.0298,-3.5289,-0.0569,-2.8948,-0.2866,-1.3897,-0.1454,-1.9998,-2.6669,-0.0720,-0.0511,-2.9997,-0.5451,-0.8670,-0.1894,-1.7569,-0.1176,-2.1983,-0.0197,-3.9375
2610,1,10.746792212594878,-0.0210,-3.8717,-0.0168,-4.0962,-0.0381,-3.2860,-0.0536,-2.9524,-0.2937,-1.3685,-0.1373,-2.0537,-2.3716,-0.0980,-0.0608,-2.8306,-0.3503,-1.2191,-0.1616,-1.9025,-0.1029,-2.3247,-0.0241,-3.7391
2640,1,10.068033564067338,-0.0262,-3.6561,-0.0206,-3.8950,-0.0327,-3.4359,-0.0599,-2.8451,-0.3155,-1.3071,-0.1461,-1.9956,-2.2840,-0.1074,-0.0593,-2.8554,-0.3382,-1.2485,-0.1960,-1.7262,-0.1012,-2.3405,-0.0247,-3.7119
2670,0,30.665092278824556,-0.0148,-4.2201,-0.0224,-3.8104,-0.0300,-3.5210,-0.0540,-2.9452,-0.2495,-1.5103,-0.1893,-1.7575,-2.5625,-0.0803,-0.0403,-3.2308,-0.4500,-1.0150,-0.2379,-1.5524,-0.0515,-2.9909,-0.0127,-4.3693
2700,2,17.886762352134607,-0.0247,-3.7114,-0.0164,-4.1193,-0.0201,-3.9153,-0.0797,-2.5692,-0.3313,-1.2658,-0.2295,-1.5843,-3.3688,-0.0350,-0.0563,-2.9042,-0.3214,-1.2915,-0.1447,-2.0043,-0.0707,-2.6842,-0.0024,-6.0500
2730,3,11.956228882863373,-0.0341,-3.3951,-0.0169,-4.0902,-0.0188,-3.9807,-0.0818,-2.5443,-0.2887,-1.3832,-0.1947,-1.7321,-3.4028,-0.0338,-0.0496,-3.0293,-0.4407,-1.0316,-0.1818,-1.7944,-0.0603,-2.8383,-0.0029,-5.8329
2760,1,11.528260721691765,-0.0071,-4.9537,-0.0157,-4.1638,-0.0275,-3.6070,-0.0771,-2.6004,-0.2870,-1.3882,-0.1883,-1.7623,-3.1575,-0.0435,-0.1112,-2.2513,-0.9636,-0.4805,-0.2454,-1.5250,-0.0837,-2.5217,-0.0238,-3.7501
2790,0,11.121581708944758,-0.0189,-3.9802,-0.0197,-3.9381,-0.0398,-3.2431,-0.0889,-2.4642,-0.3349,-1.2567,-0.1788,-1.8093,-2.5811,-0.0787,-0.0669,-2.7379,-0.6021,-0.7934,-0.2165,-1.6364,-0.1448,-2.0037,-0.0411,-3.2119
2820,1,13.143852894187322,-0.0138,-4.2871,-0.0144,-4.2479,-0.0298,-3.5288,-0.0816,-2.5460,-0.2673,-1.4500,-0.1367,-2.0577,-2.4702,-0.0884,-0.0598,-2.8470,-0.3891,-1.1321,-0.2227,-1.6111,-0.1849,-1.7791,-0.0459,-3.1037
2850,1,16.55502449268297,-0.0141,-4.2656,-0.0129,-4.3537,-0.0273,-3.6144,-0.0695,-2.7005,-0.3091,-1.3248,-0.1301,-2.1036,-2.3557,-0.0996,-0.0516,-2.9900,-0.7041,-0.6823,-0.1605,-1.9087,-0.1233,-2.1541,-0.0252,-3.6950
2880,1,15.418670117752542,-0.0167,-4.1036,-0.0147,-4.2253,-0.0375,-3.3010,-0.0798,-2.5684,-0.3380,-1.2489,-0.1405,-2.0317,-2.4110,-0.0940,-0.0520,-2.9815,-0.4969,-0.9375,-0.1307,-2.0995,-0.1255,-2.1379,-0.0180,-4.0245
2910,1,16.627481682852405,-0.0150,-4.2070,-0.0137,-4.2995,-0.0347,-3.3790,-0.0700,-2.6946,-0.2550,-1.4914,-0.1240,-2.1490,-2.3698,-0.0982,-0.0573,-2.8878,-0.5171,-0.9070,-0.1756,-1.8261,-0.1704,-1.8535,-0.0300,-3.5201
2940,0,10.661833411772637,-0.0177,-4.0406,-0.0170,-4.0856,-0.0230,-3.7819,-0.0460,-3.1023,-0.3693,-1.1750,-0.0897,-2.4557,-2.2713,-0.1089,-0.0583,-2.8709,-0.4681,-0.9840,-0.1538,-1.9481,-0.0811,-2.5525,-0.0331,-3.4253
2970,1,16.966723592220816,-0.0172,-4.0709,-0.0121,-4.4204,-0.0300,-3.5204,-0.0406,-3.2248,-0.3153,-1.3076,-0.0991,-2.3612,-2.4866,-0.0869,-0.0265,-3.6420,-0.3722,-1.1687,-0.1410,-2.0286,-0.1548,-1.9420,-0.0112,-4.4939
3000,0,5.354245432939491,-0.0092,-4.6956,-0.0122,-4.4121,-0.0267,-3.6362,-0.0437,-3.1512,-0.3444,-1.2332,-0.1134,-2.2330,-2.3862,-0.0965,-0.0317,-3.4668,-0.3016,-1.3456,-0.1949,-1.7314,-0.1328,-2.0844,-0.0214,-3.8567
3030,1,22.527562568451586,-0.0054,-5.2184,-0.0055,-5.2072,-0.0186,-3.9922,-0.0396,-3.2485,-0.2520,-1.5016,-0.0785,-2.5841,-2.1795,-0.1200,-0.0406,-3.2246,-0.4147,-1.0803,-0.1430,-2.0158,-0.0709,-2.6813,-0.0067,-5.0137
3060,1,24.32777417989768,-0.1491,-1.9767,-0.1173,-2.2009,-0.5346,-0.8816,-0.2194,-1.6244,-1.5960,-0.2265,-0.2613,-1.4698,-2.0790,-0.1336,-0.1289,-2.1121,-0.1342,-2.0746,-0.2524,-1.5001,-0.1091,-2.2700,-0.0173,-4.0645
3090,2,17.936295451511388,-0.3086,-1.3261,-0.0330,-3.4280,-0.1606,-1.9080,-0.3587,-1.1992,-1.1517,-0.3799,-0.3867,-1.1372,-2.0664,-0.1354,-0.2583,-1.4801,-0.4925,-0.9445,-0.5092,-0.9188,-0.2132,-1.6501,-0.1010,-2.3432
3120,1,15.306800769281152,-0.0323,-3.4502,-0.0420,-3.1902,-0.0502,-3.0174,-0.0678,-2.7245,-0.4260,-1.0588,-0.1653,-1.8814,-2.7508,-0.0660,-0.0635,-2.7887,-0.5701,-0.8335,-0.3437,-1.2350,-0.0643,-2.7762,-0.0772,-2.6001
3150,2,23.47489774875751,-0.0092,-4.6964,-0.0207,-3.8891,-0.0151,-4.1978,-0.0544,-2.9392,-0.6426,-0.7464,-0.0907,-2.4454,-1.9515,-0.1532,-0.0630,-2.7957,-0.2550,-1.4913,-0.0924,-2.4274,-0.0251,-3.6993,-0.0322,-3.4510
3180,1,15.117627787650395,-0.0150,-4.2052,-0.0327,-3.4354,-0.0216,-3.8437,-0.0528,-2.9674,-0.5278,-0.8913,-0.0415,-3.2021,-1.5881,-0.2285,-0.0292,-3.5486,-0.0918,-2.4339,-0.0486,-3.0484,-0.0147,-4.2266,-0.0135,-4.3124
3210,0,27.761872282363534,-0.0128,-4.3673,-0.0452,-3.1190,-0.0350,-3.3692,-0.0789,-2.5783,-0.2234,-1.6084,-0.2200,-1.6219,-2.0070,-0.1443,-0.0303,-3.5130,-0.1168,-2.2047,-0.0131,-4.3419,-0.0089,-4.7234,-0.0002,-8.7736
3240,1,19.754504919995938,-0.1351,-2.0683,-0.1087,-2.2733,-0.0395,-3.2519,-0.0484,-3.0520,-0.1093,-2.2678,-0.1301,-2.1036,-1.3063,-0.3158,-0.0288,-3.5601,-0.0549,-2.9288,-0.0052,-5.2571,-0.0012,-6.7136,-0.0000,-10.3436
3270,0,29.223495135475105,-0.2075,-1.6745,-0.0919,-2.4326,-0.1340,-2.0759,-0.1303,-2.1024,-0.4110,-1.0877,-0.0845,-2.5131,-0.5185,-0.9049,-0.0096,-4.6556,-0.0304,-3.5080,-0.0310,-3.4904,-0.0033,-5.7018,-0.0002,-8.6311
3300,2,18.654467108690096,-0.0988,-2.3635,-0.0490,-3.0403,-0.0594,-2.8530,-0.2534,-1.4970,-0.5952,-0.8017,-0.1798,-1.8047,-2.0500,-0.1378,-0.0144,-4.2497,-0.1076,-2.2825,-0.0977,-2.3743,-0.0168,-4.0928,-0.0023,-6.0912
3330,0,23.747020820726803,-0.0162,-4.1301,-0.0093,-4.6824,-0.1313,-2.0955,-0.2876,-1.3864,-1.4957,-0.2537,-0.1889,-1.7595,-2.0802,-0.1334,-0.0873,-2.4819,-0.1391,-2.0416,-0.0687,-2.7120,-0.0415,-3.2031,-0.0152,-4.1963
3360,0,32.09418890599212,-0.7300,-0.6576,-0.0468,-3.0846,-1.8144,-0.1779,-0.2238,-1.6069,-2.7250,-0.0678,-0.4219,-1.0666,-0.8723,-0.5412,-0.0736,-2.6458,-0.3953,-1.1192,-0.4619,-0.9944,-0.2254,-1.6004,-0.0671,-2.7349
3390,1,35.04670669521257,-0.9828,-0.4688,-0.1124,-2.2411,-2.0772,-0.1339,-0.3037,-1.3398,-3.2482,-0.0396,-0.2860,-1.3914,-0.7922,-0.6030,-0.0608,-2.8298,-0.5550,-0.8535,-0.3714,-1.1704,-0.2061,-1.6805,-0.0953,-2.3979
3420,1,38.19609532017153,-0.0114,-4.4778,-0.0057,-5.1707,-0.1585,-1.9200,-0.0946,-2.4051,-1.2765,-0.3271,-0.1173,-2.2007,-0.8578,-0.5518,-0.0213,-3.8598,-0.4107,-1.0882,-0.1154,-2.2166,-0.0335,-3.4115,-0.0162,-4.1326
3450,1,15.226233808279945,-0.0064,-5.0615,-0.0047,-5.3554,-0.0298,-3.5267,-0.0668,-2.7390,-0.7123,-0.6744,-0.1676,-1.8689,-1.3878,-0.2872,-0.0465,-3.0906,-0.5189,-0.9043,-0.1244,-2.1457,-0.0636,-2.7870,-0.0271,-3.6223
3480,1,18.62810079961197,-0.0027,-5.9281,-0.0044,-5.4319,-0.0128,-4.3644,-0.0643,-2.7762,-0.4627,-0.9931,-0.1442,-2.0078,-1.9892,-0.1471,-0.0746,-2.6330,-0.4722,-0.9771,-0.1305,-2.1006,-0.1090,-2.2707,-0.0280,-3.5912
3510,2,24.970615413194,-0.0088,-4.7359,-0.0137,-4.2950,-0.0118,-4.4475,-0.0480,-3.0609,-0.3342,-1.2584,-0.2398,-1.5456,-2.2414,-0.1124,-0.1406,-2.0314,-0.2836,-1.3986,-0.0787,-2.5809,-0.1144,-2.2248,-0.0355,-3.3569
3540,1,14.53541683864559,-0.0080,-4.8328,-0.0162,-4.1281,-0.0171,-4.0747,-0.0675,-2.7286,-0.3814,-1.1486,-0.1904,-1.7522,-2.3895,-0.0962,-0.1276,-2.1223,-0.2263,-1.5970,-0.1249,-2.1422,-0.1455,-1.9992,-0.0336,-3.4106
3570,0,6.344872444566788,-0.0109,-4.5264,-0.0079,-4.8472,-0.0244,-3.7256,-0.0482,-3.0561,-0.3405,-1.2428,-0.1827,-1.7900,-2.1748,-0.1206,-0.0947,-2.4039,-0.1988,-1.7134,-0.0980,-2.3713,-0.1000,-2.3519,-0.0213,-3.8575
3600,0,4.508825579059801,-0.0092,-4.6980,-0.0049,-5.3168,-0.0268,-3.6314,-0.0454,-3.1145,-0.4567,-1.0035,-0.1969,-1.7218,-2.1365,-0.1256,-0.0803,-2.5616,-0.2599,-1.4746,-0.1241,-2.1483,-0.0815,-2.5473,-0.0188,-3.9822
3630,0,4.747340976051717,-0.0072,-4.9394,-0.0032,-5.7464,-0.0213,-3.8619,-0.0701,-2.6930,-0.4354,-1.0413,-0.1996,-1.7095,-2.4469,-0.0905,-0.1003,-2.3490,-0.2599,-1.4747,-0.0945,-2.4062,-0.0832,-2.5278,-0.0199,-3.9284
3660,1,10.438207404617598,-0.0057,-5.1740,-0.0052,-5.2578,-0.0283,-3.5791,-0.0730,-2.6539,-0.6599,-0.7276,-0.2003,-1.7062,-1.9977,-0.1458,-0.0826,-2.5349,-0.2546,-1.4927,-0.1023,-2.3306,-0.0656,-2.7572,-0.0272,-3.6179
3690,0,8.466075500647804,-0.0090,-4.7197,-0.0065,-5.0328,-0.0156,-4.1684,-0.0644,-2.7751,-0.4713,-0.9787,-0.1639,-1.8896,-2.6209,-0.0755,-0.0709,-2.6815,-0.1483,-1.9819,-0.1059,-2.2982,-0.1158,-2.2130,-0.0107,-4.5452
3720,1,12.897770185845731,-0.0039,-5.5422,-0.0057,-5.1702,-0.0578,-2.8803,-0.1321,-2.0896,-0.7376,-0.6506,-0.1706,-1.8528,-2.8793,-0.0578,-0.1513,-1.9634,-0.5976,-0.7987,-0.1461,-1.9957,-0.1612,-1.9048,-0.0579,-2.8778
3750,2,13.461385128196097,-0.0079,-4.8425,-0.0086,-4.7651,-0.0401,-3.2374,-0.1037,-2.3173,-0.6243,-0.7671,-0.1997,-1.7090,-2.6523,-0.0731,-0.1413,-2.0265,-0.4155,-1.0788,-0.1455,-1.9997,-0.1091,-2.2692,-0.0367,-3.3233
3780,0,5.100766795413704,-0.0091,-4.7001,-0.0089,-4.7291,-0.0313,-3.4808,-0.0888,-2.4652,-0.5896,-0.8086,-0.1759,-1.8247,-2.1411,-0.1250,-0.0909,-2.4436,-0.3961,-1.1175,-0.1266,-2.1290,-0.0702,-2.6916,-0.0346,-3.3818
3810,1,13.139076505504367,-0.0090,-4.7102,-0.0099,-4.6184,-0.0269,-3.6287,-0.0610,-2.8269,-0.5065,-0.9228,-0.1719,-1.8456,-2.1310,-0.1264,-0.1129,-2.2372,-0.2834,-1.3993,-0.1243,-2.1468,-0.0841,-2.5174,-0.0443,-3.1394
3840,0,14.668455775103192,-0.0069,-4.9755,-0.0076,-4.8832,-0.0198,-3.9298,-0.0782,-2.5870,-0.4480,-1.0186,-0.2633,-1.4632,-2.5126,-0.0845,-0.1058,-2.2990,-0.2120,-1.6555,-0.1098,-2.2634,-0.1103,-2.2596,-0.0358,-3.3484
3870,1,15.70408476190872,-0.0070,-4.9665,-0.0069,-4.9843,-0.0177,-4.0447,-0.0917,-2.4342,-0.5281,-0.8909,-0.2206,-1.6199,-2.6326,-0.0746,-0.0965,-2.3859,-0.3129,-1.3143,-0.1942,-1.7343,-0.1245,-2.1447,-0.0387,-3.2720
3900,2,16.015910855525906,-0.0063,-5.0690,-0.0060,-5.1158,-0.0256,-3.6778,-0.0667,-2.7403,-0.5774,-0.8241,-0.1605,-1.9086,-2.1857,-0.1192,-0.0689,-2.7097,-0.2502,-1.5079,-0.1586,-1.9196,-0.0803,-2.5619,-0.0652,-2.7631
3930,0,11.83428094197396,-0.0062,-5.0856,-0.0091,-4.7081,-0.0065,-5.0426,-0.1028,-2.3259,-0.4057,-1.0982,-0.1135,-2.2321,-2.8104,-0.0621,-0.0812,-2.5512,-0.3172,-1.3026,-0.1596,-1.9137,-0.0899,-2.4537,-0.0545,-2.9375
3960,1,13.385285239625047,-0.0111,-4.5065,-0.0109,-4.5227,-0.0158,-4.1567,-0.0749,-2.6286,-0.4422,-1.0290,-0.1064,-2.2934,-2.2864,-0.1072,-0.0551,-2.9268,-0.2495,-1.5103,-0.1205,-2.1755,-0.0623,-2.8073,-0.0697,-2.6980
3990,1,11.578483442581925,-0.0081,-4.8214,-0.0053,-5.2439,-0.0370,-3.3163,-0.1029,-2.3246,-0.5947,-0.8023,-0.1253,-2.1387,-2.2422,-0.1123,-0.0486,-3.0481,-0.2950,-1.3646,-0.1165,-2.2074,-0.0556,-2.9170,-0.0353,-3.3624
4020,0,8.511795089759,-0.0112,-4.4968,-0.0088,-4.7398,-0.0236,-3.7588,-0.0845,-2.5134,-0.4729,-0.9760,-0.1288,-2.1135,-2.2446,-0.1120,-0.0515,-2.9922,-0.2324,-1.5734,-0.1068,-2.2900,-0.0629,-2.7975,-0.0511,-2.9987
4050,1,12.916633828579698,-0.0089,-4.7246,-0.0059,-5.1412,-0.0421,-3.1890,-0.0817,-2.5457,-0.5023,-0.9292,-0.1594,-1.9149,-2.3146,-0.1040,-0.0436,-3.1535,-0.3251,-1.2818,-0.1076,-2.2827,-0.0739,-2.6415,-0.0326,-3.4383
4080,1,13.879823006250225,-0.0098,-4.6262,-0.0056,-5.1875,-0.0505,-3.0111,-0.0805,-2.5596,-0.4906,-0.9474,-0.1352,-2.0679,-2.1534,-0.1234,-0.0370,-3.3148,-0.3246,-1.2831,-0.1198,-2.1812,-0.0608,-2.8307,-0.0320,-3.4567
4110,0,5.725276732907684,-0.0088,-4.7362,-0.0058,-5.1548,-0.0374,-3.3060,-0.0664,-2.7447,-0.5468,-0.8647,-0.1414,-2.0263,-1.9902,-0.1470,-0.0422,-3.1872,-0.2994,-1.3518,-0.0904,-2.4486,-0.0653,-2.7619,-0.0395,-3.2511
4140,1,13.498054958417988,-0.0081,-4.8212,-0.0064,-5.0568,-0.0346,-3.3815,-0.0779,-2.5907,-0.5550,-0.8535,-0.1253,-2.1391,-1.9725,-0.1498,-0.0607,-2.8321,-0.3076,-1.3289,-0.1015,-2.3381,-0.0728,-2.6568,-0.0644,-2.7750
4170,0,21.244961333784417,-0.0082,-4.8104,-0.0187,-3.9893,-0.0097,-4.6380,-0.1103,-2.2591,-0.5482,-0.8627,-0.2349,-1.5639,-2.7078,-0.0690,-0.0494,-3.0315,-0.1824,-1.7915,-0.0619,-2.8124,-0.0386,-3.2725,-0.0095,-4.6649
4200,0,9.98818405424276,-0.0165,-4.1147,-0.0183,-4.0076,-0.0234,-3.7676,-0.1340,-2.0759,-0.6168,-0.7758,-0.1507,-1.9667,-2.4973,-0.0859,-0.0873,-2.4813,-0.1771,-1.8181,-0.0776,-2.5953,-0.0422,-3.1872,-0.0161,-4.1401
4230,0,14.758777309967806,-0.0064,-5.0544,-0.0050,-5.2937,-0.0224,-3.8105,-0.0634,-2.7892,-0.4257,-1.0593,-0.1450,-2.0026,-2.1569,-0.1229,-0.0672,-2.7336,-0.2712,-1.4373,-0.1628,-1.8954,-0.0922,-2.4297,-0.0514,-2.9928
4260,0,10.497355775201884,-0.0058,-5.1504,-0.0077,-4.8692,-0.0122,-4.4100,-0.0695,-2.7003,-0.5575,-0.8501,-0.1702,-1.8547,-2.2609,-0.1101,-0.0622,-2.8079,-0.2005,-1.7053,-0.2134,-1.6494,-0.0771,-2.6012,-0.1240,-2.1485
4290,1,18.60808705375407,-0.0064,-5.0593,-0.0049,-5.3112,-0.0284,-3.5749,-0.0857,-2.4993,-0.4854,-0.9557,-0.1705,-1.8531,-2.4209,-0.0930,-0.0460,-3.1022,-0.2790,-1.4129,-0.1469,-1.9907,-0.0594,-2.8537,-0.0472,-3.0777
4320,1,17.463763103945308,-0.0077,-4.8769,-0.0062,-5.0801,-0.0233,-3.7701,-0.0897,-2.4562,-0.4182,-1.0736,-0.2065,-1.6787,-2.4896,-0.0866,-0.0584,-2.8699,-0.3474,-1.2260,-0.1573,-1.9272,-0.0952,-2.3991,-0.0457,-3.1092
4350,1,17.52899317698812,-0.0057,-5.1745,-0.0053,-5.2500,-0.0141,-4.2705,-0.0758,-2.6173,-0.4435,-1.0267,-0.2097,-1.6650,-2.5884,-0.0781,-0.0425,-3.1787,-0.2013,-1.7020,-0.1503,-1.9696,-0.0470,-3.0802,-0.0503,-3.0149
4380,0,22.142696023193373,-0.0772,-2.6003,-0.0481,-3.0579,-0.1864,-1.7714,-0.1113,-2.2507,-0.8942,-0.5258,-0.2022,-1.6980,-2.0580,-0.1366,-0.1037,-2.3176,-0.1336,-2.0792,-0.1760,-1.8241,-0.0463,-3.0957,-0.0068,-4.9880
4410,0,26.734958413762133,-0.0613,-2.8220,-0.0126,-4.3781,-1.7965,-0.1814,-0.3371,-1.2512,-2.4017,-0.0949,-0.4554,-1.0056,-1.6927,-0.2034,-0.1303,-2.1024,-0.4899,-0.9485,-0.4864,-0.9540,-0.2254,-1.6006,-0.0946,-2.4046
4440,0,11.728139882728733,-0.0815,-2.5480,-0.0662,-2.7485,-0.9052,-0.5183,-0.2949,-1.3650,-1.7854,-0.1836,-0.2134,-1.6493,-0.9156,-0.5113,-0.2661,-1.4540,-0.4581,-1.0011,-0.6265,-0.7645,-0.2471,-1.5190,-0.3294,-1.2707
4470,0,26.055660807678986,-0.1378,-2.0497,-0.1387,-2.0437,-0.2081,-1.6720,-0.3670,-1.1803,-1.5701,-0.2332,-0.2785,-1.4144,-1.6833,-0.2055,-0.1885,-1.7614,-0.1620,-1.9002,-0.3813,-1.1489,-0.4346,-1.0427,-0.4115,-1.0866
4500,0,29.265944427465474,-0.0069,-4.9856,-0.0129,-4.3574,-0.0247,-3.7145,-0.0742,-2.6376,-0.3857,-1.1394,-0.1099,-2.2628,-1.4997,-0.2526,-0.0931,-2.4205,-0.3054,-1.3349,-0.0783,-2.5859,-0.0649,-2.7666,-0.0208,-3.8837
4530,2,20.190786115959604,-0.0070,-4.9627,-0.0099,-4.6227,-0.0251,-3.6984,-0.0666,-2.7416,-0.5406,-0.8733,-0.1556,-1.9371,-2.2058,-0.1167,-0.1210,-2.1717,-0.2509,-1.5054,-0.1023,-2.3304,-0.0683,-2.7172,-0.0245,-3.7205
4560,0,23.614360876660342,-0.0227,-3.7952,-0.0276,-3.6025,-0.0323,-3.4497,-0.0980,-2.3713,-0.4743,-0.9738,-0.2286,-1.5878,-2.4969,-0.0859,-0.0835,-2.5249,-0.2140,-1.6469,-0.1190,-2.1876,-0.0618,-2.8138,-0.0253,-3.6888
4590,0,8.597571361533207,-0.0143,-4.2517,-0.0154,-4.1829,-0.0293,-3.5440,-0.0971,-2.3800,-0.5452,-0.8668,-0.2132,-1.6502,-2.5218,-0.0837,-0.0752,-2.6249,-0.1453,-2.0005,-0.0958,-2.3933,-0.0564,-2.9037,-0.0253,-3.6896
4620,0,7.190174453865329,-0.0149,-4.2121,-0.0225,-3.8037,-0.0253,-3.6884,-0.0984,-2.3679,-0.3971,-1.1156,-0.2378,-1.5530,-2.6375,-0.0742,-0.0574,-2.8869,-0.1765,-1.8216,-0.1021,-2.3321,-0.0752,-2.6251,-0.0204,-3.9008
